state,area_nr,area_name,total_n,germans_n,foreigner_n,for_prop,pop_move_n,pop_migr_background_n,income,unemp_n,unemp_prop,votes_total,afd_votes,afd_prop,east,east_num,state_id,total_n_z,germans_n_z,foreigner_n_z,for_prop_z,pop_move_n_z,pop_migr_background_n_z,income_z,unemp_n_z,unemp_prop_z,votes_total_z,afd_votes_z,afd_prop_z
Hessen,180,Hanau,254200,213200,41000,16,3507960,62533,21744,11947,4,132320,18625,0.14075725513905682,no,0,7,-0.5448674835986099,-1.1609687808039444,0.6455980492176596,1.1749555456218133,-0.21324324612917495,0.30959536033446883,0.3008596338149023,-0.7009472419284093,-0.690619960844651,-1.1600089667751907,-0.1230406815848686,0.24116035196731453
Hessen,181,Main-Taunus,278000,237200,40800,14,3753000,71446,26355,10563,3,158860,16395,0.1032040790633262,no,0,7,0.08360935767133876,-0.308872712886622,0.6348971751306872,0.8051537475787374,-0.040462246650122685,0.6046155454102007,2.2714890203548452,-0.9033296598895272,-1.1019653160090945,0.1657824908652889,-0.3892145231077564,-0.4463746938667481
Hessen,182,Frankfurt am Main I,365100,250000,115100,31,5987639,161374,20555,22636,6,143049,13329,0.09317786213115785,no,0,7,2.3836233439995964,0.14557852333594992,4.610271898440915,3.948469030944883,1.5352117653269826,3.581231185878103,-0.2072900822111207,0.8621059846513521,0.13207074948423594,-0.6240475293590376,-0.7551737150849644,-0.629937743343556
Hessen,183,Frankfurt am Main II,367600,277400,90200,24,6028639,162479,20555,22791,6,170775,13737,0.08043917435221783,no,0,7,2.4496398189229103,1.1183882008748929,3.278013074612857,2.6541627377941173,1.5641214167252895,3.6178066716302273,-0.2072900822111207,0.884771645622431,0.13207074948423594,0.7609899218293551,-0.7064746445283105,-0.8631615396024173
Hessen,184,Groß-Gerau,266000,213400,52599,19,5054000,85386,20066,15427,5,131180,15943,0.12153529501448392,no,0,7,-0.23326972196056814,-1.1538679802379666,1.266195241891621,1.7296582426864273,0.8768903501595695,1.0660293656677686,-0.416276803099872,-0.1920665956099913,-0.27927460568020757,-1.2169570550084292,-0.44316545421463766,-0.11076117947965332
Hessen,185,Offenbach,355200,267800,87399,24,6251520,130713,20901,23443,6,161293,19051,0.11811423930362756,no,0,7,2.122198103303273,0.777549773707964,3.1281473330248093,2.6541627377941173,1.7212778072937298,2.566352481221196,-0.05941808747184065,0.9801136517717439,0.13207074948423594,0.2873217002262266,-0.07219312262130348,-0.1733949149118099
Hessen,186,Darmstadt,341800,289700,52100,15,6425840,91944,22135,17773,5,190532,18685,0.0980675162177482,no,0,7,1.7683497977143103,1.5550874356825206,1.239496561044625,0.9900546466002753,1.8441931836779464,1.2830990811088825,0.4679635353844356,0.15098915044259736,-0.27927460568020757,1.7479402544820664,-0.11587905356183126,-0.540416459184871
Hessen,187,Odenwald,319200,279700,39500,12,5266800,80119,22034,15640,4,182234,22259,0.12214515403272715,no,0,7,1.1715608644075524,1.2000474073836362,0.565341493565367,0.43535194953566136,1.02693849205127,0.8916917335804938,0.4247985889432006,-0.16091959053360536,-0.690619960844651,1.3334181175001258,0.31071525567709296,-0.09959569384364195
Hessen,188,Bergstraße,266900,236100,30799,11,3950120,48575,22341,10142,3,154080,19931,0.1293548805815161,no,0,7,-0.20950379098817512,-0.34792711599949927,0.09979996641163509,0.2504510505141234,0.09852971636534735,-0.1524142596910069,0.5560029310962612,-0.9648925196883933,-1.1019653160090945,-0.07299984400741241,0.032844088383244166,0.032402187325620085
Thüringen,189,Eichsfeld – Nordhausen – Kyffhäuserkreis,263800,256500,7300,2,2057639,7386,17475,18993,7,155929,32854,0.21069845891399291,yes,1,16,-0.2913642198930844,0.3763545417302247,-1.1574992344371808,-1.4136570406797184,-1.2358840882180524,-1.5157696285998277,-1.5236072608151163,0.32938983679560596,0.5434161046486795,0.019365958749831255,1.5753394040784365,1.5216653256642598
