state,area_nr,area_name,total_n,germans_n,foreigner_n,pop_move_n,pop_migr_background_n,income,unemp_n,votes_total,afd_votes,afd_prop,east,state_id
Sachsen,159,Dresden I,294400,274200,20199,3621120,21491,17638,20902,181068,41796,0.23083040625621312,1,13
Sachsen,160,Dresden II – Bautzen II,296400,284800,11599,3319679,19562,17797,20747,185136,43119,0.23290445942442312,1,13
Sachsen,161,Mittelsachsen,246800,239000,7800,1801640,6416,18604,16042,148887,46521,0.31245844163694614,1,13
Sachsen,162,Chemnitz,248600,231500,17099,6140420,16158,18611,20385,145888,35456,0.243035753454705,1,13
Sachsen,163,Chemnitzer Umland – Erzgebirgskreis II,219200,216500,2699,745280,5480,18445,14028,137168,36741,0.2678540184299545,1,13
Sachsen,164,Erzgebirgskreis I,267500,261600,5899,26750,4815,18124,16585,163962,47948,0.29243361266634954,1,13
Sachsen,165,Zwickau,251100,243700,7400,1707480,7784,18656,16070,148817,38955,0.26176444895408457,1,13
Sachsen,166,Vogtlandkreis,232300,226400,5900,1835170,8130,18566,15564,140831,37218,0.2642742009926792,1,13
Hessen,167,Waldeck,235000,219900,15099,3783500,37365,21290,10340,140730,16410,0.11660626732040076,0,7
Hessen,168,Kassel,299300,263200,36100,4459570,73927,19633,21848,165395,17286,0.10451343752834125,0,7
Hessen,169,Werra-Meißner – Hersfeld-Rotenburg,221900,207200,14700,3727920,31066,19842,11538,131063,17173,0.13102858930438033,0,7
Hessen,170,Schwalm-Eder,237400,224000,13400,2350260,34897,20606,11395,143054,18504,0.12934975603618215,0,7
Hessen,171,Marburg,245200,220800,24399,4143879,46342,19718,9808,140784,16127,0.11455136947380384,0,7
Hessen,172,Lahn-Dill,275400,250900,24499,2919240,61138,21649,15422,152795,20930,0.13698092215059393,0,7
Hessen,173,Gießen,286500,258100,28399,3352049,63603,19880,16617,164311,20357,0.12389310514816415,0,7
Hessen,174,Fulda,271000,251900,19099,4607000,43360,20727,9214,158626,25134,0.1584481736915764,0,7
Hessen,175,Main-Kinzig – Wetterau II – Schotten,232200,212300,19899,2879279,52245,21761,10681,136022,20921,0.1538060019702695,0,7
