date,hits,keyword,geo,gprop,category
2015-11-07T23:00:00Z,35,machine learning,world,web,0
2015-11-14T23:00:00Z,30,machine learning,world,web,0
2015-11-21T23:00:00Z,28,machine learning,world,web,0
2015-11-28T23:00:00Z,31,machine learning,world,web,0
2015-12-05T23:00:00Z,30,machine learning,world,web,0
2015-12-12T23:00:00Z,32,machine learning,world,web,0
2015-12-19T23:00:00Z,26,machine learning,world,web,0
2015-12-26T23:00:00Z,25,machine learning,world,web,0
2016-01-02T23:00:00Z,27,machine learning,world,web,0
2016-01-09T23:00:00Z,27,machine learning,world,web,0
2016-01-16T23:00:00Z,28,machine learning,world,web,0
2016-01-23T23:00:00Z,32,machine learning,world,web,0
2016-01-30T23:00:00Z,33,machine learning,world,web,0
2016-02-06T23:00:00Z,30,machine learning,world,web,0
2016-02-13T23:00:00Z,31,machine learning,world,web,0
2016-02-20T23:00:00Z,31,machine learning,world,web,0
2016-02-27T23:00:00Z,30,machine learning,world,web,0
2016-03-05T23:00:00Z,35,machine learning,world,web,0
2016-03-12T23:00:00Z,34,machine learning,world,web,0
2016-03-19T23:00:00Z,36,machine learning,world,web,0
2016-03-26T23:00:00Z,33,machine learning,world,web,0
2016-04-02T22:00:00Z,36,machine learning,world,web,0
2016-04-09T22:00:00Z,33,machine learning,world,web,0
2016-04-16T22:00:00Z,33,machine learning,world,web,0
2016-04-23T22:00:00Z,34,machine learning,world,web,0
2016-04-30T22:00:00Z,32,machine learning,world,web,0
2016-05-07T22:00:00Z,37,machine learning,world,web,0
2016-05-14T22:00:00Z,38,machine learning,world,web,0
2016-05-21T22:00:00Z,34,machine learning,world,web,0
2016-05-28T22:00:00Z,36,machine learning,world,web,0
2016-06-04T22:00:00Z,35,machine learning,world,web,0
2016-06-11T22:00:00Z,38,machine learning,world,web,0
2016-06-18T22:00:00Z,38,machine learning,world,web,0
2016-06-25T22:00:00Z,35,machine learning,world,web,0
2016-07-02T22:00:00Z,33,machine learning,world,web,0
2016-07-09T22:00:00Z,34,machine learning,world,web,0
2016-07-16T22:00:00Z,32,machine learning,world,web,0
2016-07-23T22:00:00Z,32,machine learning,world,web,0
2016-07-30T22:00:00Z,34,machine learning,world,web,0
2016-08-06T22:00:00Z,33,machine learning,world,web,0
2016-08-13T22:00:00Z,32,machine learning,world,web,0
2016-08-20T22:00:00Z,37,machine learning,world,web,0
2016-08-27T22:00:00Z,34,machine learning,world,web,0
2016-09-03T22:00:00Z,35,machine learning,world,web,0
2016-09-10T22:00:00Z,40,machine learning,world,web,0
2016-09-17T22:00:00Z,43,machine learning,world,web,0
2016-09-24T22:00:00Z,44,machine learning,world,web,0
2016-10-01T22:00:00Z,45,machine learning,world,web,0
2016-10-08T22:00:00Z,42,machine learning,world,web,0
2016-10-15T22:00:00Z,47,machine learning,world,web,0
2016-10-22T22:00:00Z,48,machine learning,world,web,0
2016-10-29T22:00:00Z,47,machine learning,world,web,0
2016-11-05T23:00:00Z,45,machine learning,world,web,0
2016-11-12T23:00:00Z,47,machine learning,world,web,0
2016-11-19T23:00:00Z,46,machine learning,world,web,0
2016-11-26T23:00:00Z,54,machine learning,world,web,0
2016-12-03T23:00:00Z,51,machine learning,world,web,0
2016-12-10T23:00:00Z,49,machine learning,world,web,0
2016-12-17T23:00:00Z,43,machine learning,world,web,0
2016-12-24T23:00:00Z,37,machine learning,world,web,0
2016-12-31T23:00:00Z,49,machine learning,world,web,0
2017-01-07T23:00:00Z,56,machine learning,world,web,0
2017-01-14T23:00:00Z,54,machine learning,world,web,0
2017-01-21T23:00:00Z,54,machine learning,world,web,0
2017-01-28T23:00:00Z,55,machine learning,world,web,0
2017-02-04T23:00:00Z,56,machine learning,world,web,0
2017-02-11T23:00:00Z,55,machine learning,world,web,0
2017-02-18T23:00:00Z,57,machine learning,world,web,0
2017-02-25T23:00:00Z,60,machine learning,world,web,0
2017-03-04T23:00:00Z,59,machine learning,world,web,0
2017-03-11T23:00:00Z,60,machine learning,world,web,0
2017-03-18T23:00:00Z,61,machine learning,world,web,0
2017-03-25T23:00:00Z,66,machine learning,world,web,0
2017-04-01T22:00:00Z,62,machine learning,world,web,0
2017-04-08T22:00:00Z,60,machine learning,world,web,0
2017-04-15T22:00:00Z,61,machine learning,world,web,0
2017-04-22T22:00:00Z,62,machine learning,world,web,0
2017-04-29T22:00:00Z,63,machine learning,world,web,0
2017-05-06T22:00:00Z,64,machine learning,world,web,0
2017-05-13T22:00:00Z,68,machine learning,world,web,0
2017-05-20T22:00:00Z,69,machine learning,world,web,0
2017-05-27T22:00:00Z,62,machine learning,world,web,0
2017-06-03T22:00:00Z,65,machine learning,world,web,0
2017-06-10T22:00:00Z,68,machine learning,world,web,0
2017-06-17T22:00:00Z,71,machine learning,world,web,0
2017-06-24T22:00:00Z,62,machine learning,world,web,0
2017-07-01T22:00:00Z,61,machine learning,world,web,0
2017-07-08T22:00:00Z,65,machine learning,world,web,0
2017-07-15T22:00:00Z,66,machine learning,world,web,0
2017-07-22T22:00:00Z,66,machine learning,world,web,0
2017-07-29T22:00:00Z,68,machine learning,world,web,0
2017-08-05T22:00:00Z,64,machine learning,world,web,0
2017-08-12T22:00:00Z,64,machine learning,world,web,0
2017-08-19T22:00:00Z,65,machine learning,world,web,0
2017-08-26T22:00:00Z,67,machine learning,world,web,0
2017-09-02T22:00:00Z,65,machine learning,world,web,0
2017-09-09T22:00:00Z,75,machine learning,world,web,0
2017-09-16T22:00:00Z,72,machine learning,world,web,0
2017-09-23T22:00:00Z,78,machine learning,world,web,0
2017-09-30T22:00:00Z,74,machine learning,world,web,0
2017-10-07T22:00:00Z,77,machine learning,world,web,0
2017-10-14T22:00:00Z,75,machine learning,world,web,0
2017-10-21T22:00:00Z,82,machine learning,world,web,0
2017-10-28T22:00:00Z,81,machine learning,world,web,0
2017-11-04T23:00:00Z,84,machine learning,world,web,0
2017-11-11T23:00:00Z,78,machine learning,world,web,0
2017-11-18T23:00:00Z,75,machine learning,world,web,0
2017-11-25T23:00:00Z,79,machine learning,world,web,0
2017-12-02T23:00:00Z,84,machine learning,world,web,0
2017-12-09T23:00:00Z,82,machine learning,world,web,0
2017-12-16T23:00:00Z,75,machine learning,world,web,0
2017-12-23T23:00:00Z,61,machine learning,world,web,0
2017-12-30T23:00:00Z,66,machine learning,world,web,0
2018-01-06T23:00:00Z,78,machine learning,world,web,0
2018-01-13T23:00:00Z,81,machine learning,world,web,0
2018-01-20T23:00:00Z,81,machine learning,world,web,0
2018-01-27T23:00:00Z,83,machine learning,world,web,0
2018-02-03T23:00:00Z,81,machine learning,world,web,0
2018-02-10T23:00:00Z,81,machine learning,world,web,0
2018-02-17T23:00:00Z,83,machine learning,world,web,0
2018-02-24T23:00:00Z,84,machine learning,world,web,0
2018-03-03T23:00:00Z,85,machine learning,world,web,0
2018-03-10T23:00:00Z,81,machine learning,world,web,0
2018-03-17T23:00:00Z,85,machine learning,world,web,0
2018-03-24T23:00:00Z,82,machine learning,world,web,0
2018-03-31T22:00:00Z,82,machine learning,world,web,0
2018-04-07T22:00:00Z,84,machine learning,world,web,0
2018-04-14T22:00:00Z,84,machine learning,world,web,0
2018-04-21T22:00:00Z,86,machine learning,world,web,0
2018-04-28T22:00:00Z,80,machine learning,world,web,0
2018-05-05T22:00:00Z,88,machine learning,world,web,0
2018-05-12T22:00:00Z,86,machine learning,world,web,0
2018-05-19T22:00:00Z,84,machine learning,world,web,0
2018-05-26T22:00:00Z,83,machine learning,world,web,0
2018-06-02T22:00:00Z,88,machine learning,world,web,0
2018-06-09T22:00:00Z,84,machine learning,world,web,0
